iter	Logloss
0	0.679402258
1	0.6663225639
2	0.6534988124
3	0.6431988302
4	0.6337426365
5	0.6229074159
6	0.6111724096
7	0.6014517983
8	0.5908077343
9	0.5854972846
10	0.5794394096
11	0.5721802298
12	0.5669458662
13	0.562795665
14	0.5570319011
15	0.5534530352
16	0.5484309841
17	0.5430996925
18	0.5395155533
19	0.5353651637
20	0.5323138147
21	0.5289067701
22	0.5256293603
23	0.5209969674
24	0.5159487068
25	0.5132155754
26	0.5109275973
27	0.5083910842
28	0.505968292
29	0.5035986407
30	0.5018077953
31	0.4986562852
32	0.4966899147
33	0.4946116125
34	0.4933892147
35	0.4920308414
36	0.4909000042
37	0.4897576473
38	0.4877659148
39	0.4862940718
40	0.4853154693
41	0.4843581796
42	0.482990484
43	0.4817144744
44	0.480628366
45	0.479982671
46	0.4793869467
47	0.4788888723
48	0.4781827856
49	0.47779002
50	0.4773454632
51	0.4758440835
52	0.4752593138
53	0.4741764384
54	0.4733554066
55	0.4729255711
56	0.4722208969
57	0.471840467
58	0.4691000536
59	0.468830551
60	0.4684677929
61	0.4678945428
62	0.4674464391
63	0.4670526377
64	0.4666767905
65	0.4663985619
66	0.4661025674
67	0.4654290621
68	0.4648117425
69	0.4644370567
70	0.46416746
71	0.4637139574
72	0.4619889967
73	0.4615332969
74	0.4608024133
75	0.4602387995
76	0.4600319486
77	0.4595207852
78	0.459104792
79	0.4585835528
80	0.4582430806
81	0.457804111
82	0.4575003321
83	0.4573187176
84	0.4569775863
85	0.4557835952
86	0.4548097637
87	0.454301645
88	0.4535290459
89	0.453360081
90	0.4531253884
91	0.4528179371
92	0.4524149388
93	0.4519163936
94	0.451479527
95	0.4512069169
96	0.4509224106
97	0.4505199773
98	0.450394109
99	0.4502412779
100	0.4500493052
101	0.4498157112
102	0.4495052779
103	0.44884618
104	0.4486971155
105	0.4485755161
106	0.4482312145
107	0.4480650432
108	0.4478982442
109	0.44756157
110	0.4474050664
111	0.4471640019
112	0.4463475843
113	0.4458860777
114	0.4456054322
115	0.4451635434
116	0.4448416533
117	0.4445087457
118	0.4443037782
119	0.444023729
120	0.443837626
